#mbaexpression, originalexpression
((c-b)-((c|~b)+(c|~b)))-2, (c^b)
((b|(((b+e)+1)+((-b-1)|(-e-1))))*2)-(b^(((b+e)+1)+((-b-1)|(-e-1)))), (b+(b|e))
((~((a|e)-(a&e))|c)+((a|e)-(a&e)))+1, ((a^e)&c)
(c&d)*(c|d)+(c&~d)*(~c&d), (c*d)
((((e&~a)+a)&~c)*2)-(((e&~a)+a)^c), ((e|a)-c)
((~b|e)+b)+1, (b&e)
(b&b)+~(b|b), (~(b^b))
((d+e)+1)+((-d-1)|(-e-1)), (d|e)
~((c+~(~b+1))+1)+1, (-(c-(-b)))
(~((d&c)*(d|c)+(d&~c)*(~d&c))|a)-~((d&c)*(d|c)+(d&~c)*(~d&c)), ((d*c)&a)
(b&~(((e+d)+1)+((-e-1)|(-d-1))))+(((e+d)+1)+((-e-1)|(-d-1))), (b|(e|d))
(d&e)*(d|e)+(d&~e)*(~d&e), (d*e)
((~a|e)+a)+1, (a&e)
(~b|a)-~b, (b&a)
(e+~d)+1, (e-d)
(b^e)-((~b&e)+(~b&e)), (b-e)
(d|a)-(d&a), (d^a)
(e&~a)+a, (e|a)
(b&~(-d-1))+(-d-1), (b|(~d))
(c&~a)-(~c&a), (c-a)
(a&a)*(a|a)+(a&~a)*(~a&a), (a*a)
e-1, (~(-e))
((-e-1)&a)*((-e-1)|a)+((-e-1)&~a)*(~(-e-1)&a), ((~e)*a)
(~b|e)-~b, (b&e)
((a&~c)*2)-(a^c), (a-c)
(((-c-1)&a)-((-c-1)|a))-1, (~((~c)^a))
((e+((a|b)-(a&b)))+1)+((-e-1)|(-((a|b)-(a&b))-1)), (e|(a^b))
(~a|d)-~a, (a&d)
((c^~e)+((c|e)*2))+1, (c+e)
(c&(((~c|a)+c)+1))*(c|(((~c|a)+c)+1))+(c&~(((~c|a)+c)+1))*(~c&(((~c|a)+c)+1)), (c*(c&a))
~(~((((~a|d)+a)+1)-1))+1, (-(-(a&d)))
((e+a)+1)+((-e-1)|(-a-1)), (e|a)
((e-((a&d)*(a|d)+(a&~d)*(~a&d)))-((e|~((a&d)*(a|d)+(a&~d)*(~a&d)))+(e|~((a&d)*(a|d)+(a&~d)*(~a&d)))))-2, (e^(a*d))
((a-((c|b)-(c&b)))-((a|~((c|b)-(c&b)))*2))-2, (a^(c^b))
(~c|((a&~d)+d))-~c, (c&(a|d))
(((((a^~a)+((a|a)+(a|a)))+1)&~b)*2)-((((a^~a)+((a|a)+(a|a)))+1)^b), ((a+a)-b)
(~(((~c|d)+c)+1)|d)-~(((~c|d)+c)+1), ((c&d)&d)
((~b|((~b|e)-~b))+b)+1, (b&(b&e))
((~e|d)+e)+1, (e&d)
(((b-1)-a)-(((b-1)|~a)+((b-1)|~a)))-2, ((~(-b))^a)
(b|~(b-1))-(b&~(b-1)), (b^(-b))
(b|a)+(b&a), (b+a)
(~(a-1)+~b)+1, ((-a)-b)
c-1, (~(-c))
((((d&c)*(d|c)+(d&~c)*(~d&c))&~b)*2)-(((d&c)*(d|c)+(d&~c)*(~d&c))^b), ((d*c)-b)
(d-~c)-1, (d+c)
-((d-~(-b-1))-1)-1, (~(d+(~b)))
(~c|a)-~c, (c&a)
((e+(((c-d)-((c|~d)*2))-2))+1)+((-e-1)|(-(((c-d)-((c|~d)*2))-2)-1)), (e|(c^d))
(((((b+a)+1)+((-b-1)|(-a-1)))^~c)+(((((b+a)+1)+((-b-1)|(-a-1)))|c)+((((b+a)+1)+((-b-1)|(-a-1)))|c)))+1, ((b|a)+c)
d-1, (~(-d))
(~e|b)-~e, (e&b)
a+1, (-(~a))
(d^c)-((~d&c)+(~d&c)), (d-c)
-(((~(-a-1)|c)+(-a-1))+1)-1, (~((~a)&c))
(c-~e)-1, (c+e)
((a-(((d&~a)*2)-(d^a)))-((a|~(((d&~a)*2)-(d^a)))+(a|~(((d&~a)*2)-(d^a)))))-2, (a^(d-a))
(c^((b|e)-(b&e)))+((c&((b|e)-(b&e)))+(c&((b|e)-(b&e)))), (c+(b^e))
((e|((e+~d)+1))*2)-(e^((e+~d)+1)), (e+(e-d))
(((b&~e)+e)&~d)+d, ((b|e)|d)
((e+a)+1)+((-e-1)|(-a-1)), (e|a)
(e|(((c+a)+1)+((-c-1)|(-a-1))))+(e&(((c+a)+1)+((-c-1)|(-a-1)))), (e+(c|a))
((a+b)+1)+((-a-1)|(-b-1)), (a|b)
((((~d|e)+d)+1)&e)*((((~d|e)+d)+1)|e)+((((~d|e)+d)+1)&~e)*(~(((~d|e)+d)+1)&e), ((d&e)*e)
(b^e)-((~b&e)*2), (b-e)
((b&~c)*2)-(b^c), (b-c)
(c^(-b-1))+((c&(-b-1))+(c&(-b-1))), (c+(~b))
(e-~(-a-1))-1, (e+(~a))
((d|e)+(d|e))-(d^e), (d+e)
(e&(((b+c)+1)+((-b-1)|(-c-1))))*(e|(((b+c)+1)+((-b-1)|(-c-1))))+(e&~(((b+c)+1)+((-b-1)|(-c-1))))*(~e&(((b+c)+1)+((-b-1)|(-c-1)))), (e*(b|c))
((a&~d)*2)-(a^d), (a-d)
(~(d-1)+~d)+1, ((-d)-d)
((((a&a)*(a|a)+(a&~a)*(~a&a))&~b)*2)-(((a&a)*(a|a)+(a&~a)*(~a&a))^b), ((a*a)-b)
(((c&d)*(c|d)+(c&~d)*(~c&d))+~b)+1, ((c*d)-b)
a-1, (~(-a))
d-(d&a), (d&(~a))
(d&~a)-(~d&a), (d-a)
(b&((a-~d)-1))*(b|((a-~d)-1))+(b&~((a-~d)-1))*(~b&((a-~d)-1)), (b*(a+d))
-((b&a)*(b|a)+(b&~a)*(~b&a))-1, (~(b*a))
((((d&~d)+d)-c)-((((d&~d)+d)|~c)*2))-2, ((d|d)^c)
((b&~(e-1))-(b|~(e-1)))-1, (~(b^(-e)))
e-1, (~(-e))
((b^~e)+((b|e)+(b|e)))+1, (b+e)
-((e&(-a-1))*(e|(-a-1))+(e&~(-a-1))*(~e&(-a-1)))-1, (~(e*(~a)))
(~(((c|e)+(c|e))-(c^e))|c)-~(((c|e)+(c|e))-(c^e)), ((c+e)&c)
((~c|(((d|a)*2)-(d^a)))+c)+1, (c&(d+a))
((e^~((a&~d)-(~a&d)))+((e|((a&~d)-(~a&d)))*2))+1, (e+(a-d))
(b+~((e&d)*(e|d)+(e&~d)*(~e&d)))+1, (b-(e*d))
((~c|((e&e)*(e|e)+(e&~e)*(~e&e)))+c)+1, (c&(e*e))
((((d&~c)+c)-b)-((((d&~c)+c)|~b)*2))-2, ((d|c)^b)
(((b^d)-((~b&d)*2))+~b)+1, ((b-d)-b)
(((~c+1)+~(d-1))+1)+((-(~c+1)-1)|(-(~(d-1))-1)), ((-c)|(-d))
(b-~b)-1, (b+b)
(e&~(c-1))*(e|~(c-1))+(e&~(~(c-1)))*(~e&~(c-1)), (e*(-c))
-((a&~c)+c)-1, (~(a|c))
((e&e)-(e|e))-1, (~(e^e))
(~e|b)-~e, (e&b)
((c-e)-((c|~e)*2))-2, (c^e)
((-e-1)|a)-((-e-1)&a), ((~e)^a)
~(((~e|d)+e)+1)+1, (-(e&d))
(~(a+1)|d)-~(a+1), ((-(~a))&d)
(b^b)+((b&b)+(b&b)), (b+b)
(((~e|b)-~e)|b)-(((~e|b)-~e)&b), ((e&b)^b)
(b^d)+((b&d)+(b&d)), (b+d)
(e&c)*(e|c)+(e&~c)*(~e&c), (e*c)
(((b&c)*(b|c)+(b&~c)*(~b&c))|a)-(((b&c)*(b|c)+(b&~c)*(~b&c))&a), ((b*c)^a)
((a^~a)+((a|a)+(a|a)))+1, (a+a)
(b&d)*(b|d)+(b&~d)*(~b&d), (b*d)
((b&~a)+(b&~a))-(b^a), (b-a)
