#complex,groundtruth
#2-variable linear MBA expression
-x-1,~x
-2*(~((10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))&~y))+((10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))^y)-2*y+4*~y-3*(~((10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))|y))+2*(~((10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))|~y))-3*((10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))&~y)+7*((10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))&y),3*a-(~(a&y)),(10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))
2*(x|~(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b)))-1*(x|(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b)))-2*x+2*(~(x^(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))))-2*~x-1*(~(x&(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))))-1*(~(x&~x))-2*(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))-2*(~(x|(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))))+6*(~(x|~(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))))+4*(x&~(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))),-2*(~(x&~b))+1*(x^b),(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))
y+(4*(a&~b)+1*b+3*~(a|b)-1*~(a|~b)-3*~b)-2*((4*(a&~b)+1*b+3*~(a|b)-1*~(a|~b)-3*~b)|~y)+2*~y+(~((4*(a&~b)+1*b+3*~(a|b)-1*~(a|~b)-3*~b)&~(4*(a&~b)+1*b+3*~(a|b)-1*~(a|~b)-3*~b)))-2*~(4*(a&~b)+1*b+3*~(a|b)-1*~(a|~b)-3*~b)+2*(~((4*(a&~b)+1*b+3*~(a|b)-1*~(a|~b)-3*~b)^y))-2*(~((4*(a&~b)+1*b+3*~(a|b)-1*~(a|~b)-3*~b)|y))-2*(~((4*(a&~b)+1*b+3*~(a|b)-1*~(a|~b)-3*~b)|~y))-4*((4*(a&~b)+1*b+3*~(a|b)-1*~(a|~b)-3*~b)&~y)-4*((4*(a&~b)+1*b+3*~(a|b)-1*~(a|~b)-3*~b)&y),-(a|y)-(~(a&y)),(4*(a&~b)+1*b+3*~(a|b)-1*~(a|~b)-3*~b)
-2*~x+~(9*(a&b)+11*(a&~b)-11*~(a&~a)+3*~(a&~b)+8*~(a|b)+9*~(a|~b))-1*(~(x&(9*(a&b)+11*(a&~b)-11*~(a&~a)+3*~(a&~b)+8*~(a|b)+9*~(a|~b))))-1*(~(x&~(9*(a&b)+11*(a&~b)-11*~(a&~a)+3*~(a&~b)+8*~(a|b)+9*~(a|~b))))+2*(x^(9*(a&b)+11*(a&~b)-11*~(a&~a)+3*~(a&~b)+8*~(a|b)+9*~(a|~b)))+3*(~(x|(9*(a&b)+11*(a&~b)-11*~(a&~a)+3*~(a&~b)+8*~(a|b)+9*~(a|~b))))+3*(~(x|~(9*(a&b)+11*(a&~b)-11*~(a&~a)+3*~(a&~b)+8*~(a|b)+9*~(a|~b))))-1*(x&~(9*(a&b)+11*(a&~b)-11*~(a&~a)+3*~(a&~b)+8*~(a|b)+9*~(a|~b)))+2*(x&(9*(a&b)+11*(a&~b)-11*~(a&~a)+3*~(a&~b)+8*~(a|b)+9*~(a|~b))),1*(x|b),(9*(a&b)+11*(a&~b)-11*~(a&~a)+3*~(a&~b)+8*~(a|b)+9*~(a|~b))
~(2*(a&b)+3*(a&~b)-1*(a|b)+1*~(a|b)+1*~(a|~b)-1*~b)+2*~y+(2*(a&b)+3*(a&~b)-1*(a|b)+1*~(a|b)+1*~(a|~b)-1*~b)+y-2*(~((2*(a&b)+3*(a&~b)-1*(a|b)+1*~(a|b)+1*~(a|~b)-1*~b)^y))-1*(~((2*(a&b)+3*(a&~b)-1*(a|b)+1*~(a|b)+1*~(a|~b)-1*~b)&~(2*(a&b)+3*(a&~b)-1*(a|b)+1*~(a|b)+1*~(a|~b)-1*~b)))+2*((2*(a&b)+3*(a&~b)-1*(a|b)+1*~(a|b)+1*~(a|~b)-1*~b)^y)-1*((2*(a&b)+3*(a&~b)-1*(a|b)+1*~(a|b)+1*~(a|~b)-1*~b)|y)-2*(~((2*(a&b)+3*(a&~b)-1*(a|b)+1*~(a|b)+1*~(a|~b)-1*~b)|~y))-2*((2*(a&b)+3*(a&~b)-1*(a|b)+1*~(a|b)+1*~(a|~b)-1*~b)&~y)+1*((2*(a&b)+3*(a&~b)-1*(a|b)+1*~(a|b)+1*~(a|~b)-1*~b)&y),1*(~(a&y))-(~(a&~y)),(2*(a&b)+3*(a&~b)-1*(a|b)+1*~(a|b)+1*~(a|~b)-1*~b)
-1*(~(x^(-2*(a&b)-2*(a&~b)+2*(a|~b)+1*~(a^b)-3*~(a|b)+1*~(a|~b))))+(~(x&(-2*(a&b)-2*(a&~b)+2*(a|~b)+1*~(a^b)-3*~(a|b)+1*~(a|~b))))+(x^(-2*(a&b)-2*(a&~b)+2*(a|~b)+1*~(a^b)-3*~(a|b)+1*~(a|~b)))+(~(x&~(-2*(a&b)-2*(a&~b)+2*(a|~b)+1*~(a^b)-3*~(a|b)+1*~(a|~b))))-2*x-1*(x|~(-2*(a&b)-2*(a&~b)+2*(a|~b)+1*~(a^b)-3*~(a|b)+1*~(a|~b)))+~x-1*(~(x|(-2*(a&b)-2*(a&~b)+2*(a|~b)+1*~(a^b)-3*~(a|b)+1*~(a|~b))))-3*(~(x|~(-2*(a&b)-2*(a&~b)+2*(a|~b)+1*~(a^b)-3*~(a|b)+1*~(a|~b))))+2*(x&~(-2*(a&b)-2*(a&~b)+2*(a|~b)+1*~(a^b)-3*~(a|b)+1*~(a|~b)))+4*(x&(-2*(a&b)-2*(a&~b)+2*(a|~b)+1*~(a^b)-3*~(a|b)+1*~(a|~b))),1*(x|b),(-2*(a&b)-2*(a&~b)+2*(a|~b)+1*~(a^b)-3*~(a|b)+1*~(a|~b))
-1*~y-1*(~((6*(a&b)+7*(a&~b)-6*(a|b)+1*~(a^b)-1*~(a|b)+6*~(a|~b))&y))-2*(6*(a&b)+7*(a&~b)-6*(a|b)+1*~(a^b)-1*~(a|b)+6*~(a|~b))-2*y-1*((6*(a&b)+7*(a&~b)-6*(a|b)+1*~(a^b)-1*~(a|b)+6*~(a|~b))^y)+(~((6*(a&b)+7*(a&~b)-6*(a|b)+1*~(a^b)-1*~(a|b)+6*~(a|~b))&~y))+2*(~((6*(a&b)+7*(a&~b)-6*(a|b)+1*~(a^b)-1*~(a|b)+6*~(a|~b))|y))+2*(~((6*(a&b)+7*(a&~b)-6*(a|b)+1*~(a^b)-1*~(a|b)+6*~(a|~b))|~y))+6*((6*(a&b)+7*(a&~b)-6*(a|b)+1*~(a^b)-1*~(a|b)+6*~(a|~b))&~y)+4*((6*(a&b)+7*(a&~b)-6*(a|b)+1*~(a^b)-1*~(a|b)+6*~(a|~b))&y),-(~(a&~a))+2*(a|~y),(6*(a&b)+7*(a&~b)-6*(a|b)+1*~(a^b)-1*~(a|b)+6*~(a|~b))
x+2*(x^(-1*(a&b)-2*(a&~b)+1*a+1*~(a&~a)-1*~(a|b)))-5*(~(x&~x))+~x+(~(x^(-1*(a&b)-2*(a&~b)+1*a+1*~(a&~a)-1*~(a|b))))+(x|~(-1*(a&b)-2*(a&~b)+1*a+1*~(a&~a)-1*~(a|b)))+(~(x&~(-1*(a&b)-2*(a&~b)+1*a+1*~(a&~a)-1*~(a|b))))-1*(~(x&(-1*(a&b)-2*(a&~b)+1*a+1*~(a&~a)-1*~(a|b))))+1*(~(x|(-1*(a&b)-2*(a&~b)+1*a+1*~(a&~a)-1*~(a|b))))+1*(~(x|~(-1*(a&b)-2*(a&~b)+1*a+1*~(a&~a)-1*~(a|b)))),-(x|b)-~b,(-1*(a&b)-2*(a&~b)+1*a+1*~(a&~a)-1*~(a|b))
-2*(~((-5*(a&b)+1*(a&~b)-1*b+7*~(a&~b)-7*~(a|b)-6*~(a|~b))&y))-2*~y-2*~(-5*(a&b)+1*(a&~b)-1*b+7*~(a&~b)-7*~(a|b)-6*~(a|~b))+(~((-5*(a&b)+1*(a&~b)-1*b+7*~(a&~b)-7*~(a|b)-6*~(a|~b))^y))-2*(-5*(a&b)+1*(a&~b)-1*b+7*~(a&~b)-7*~(a|b)-6*~(a|~b))-1*y-1*((-5*(a&b)+1*(a&~b)-1*b+7*~(a&~b)-7*~(a|b)-6*~(a|~b))|y)+((-5*(a&b)+1*(a&~b)-1*b+7*~(a&~b)-7*~(a|b)-6*~(a|~b))|~y)+6*(~((-5*(a&b)+1*(a&~b)-1*b+7*~(a&~b)-7*~(a|b)-6*~(a|~b))|y))+8*(~((-5*(a&b)+1*(a&~b)-1*b+7*~(a&~b)-7*~(a|b)-6*~(a|~b))|~y))+7*((-5*(a&b)+1*(a&~b)-1*b+7*~(a&~b)-7*~(a|b)-6*~(a|~b))&~y)+4*((-5*(a&b)+1*(a&~b)-1*b+7*~(a&~b)-7*~(a|b)-6*~(a|~b))&y),1*(~(a&~a))+1*(~(a&~y)),(-5*(a&b)+1*(a&~b)-1*b+7*~(a&~b)-7*~(a|b)-6*~(a|~b))
2*(~(x&(-3*(a&b)-4*(a&~b)+2*(a|b)+2*~(a&~a)-2*~(a|b)-3*~(a|~b))))+(x|(-3*(a&b)-4*(a&~b)+2*(a|b)+2*~(a&~a)-2*~(a|b)-3*~(a|~b)))+x-1*(x|~(-3*(a&b)-4*(a&~b)+2*(a|b)+2*~(a&~a)-2*~(a|b)-3*~(a|~b)))+~x-1*(~(x&~(-3*(a&b)-4*(a&~b)+2*(a|b)+2*~(a&~a)-2*~(a|b)-3*~(a|~b))))+2*~(-3*(a&b)-4*(a&~b)+2*(a|b)+2*~(a&~a)-2*~(a|b)-3*~(a|~b))-4*(-3*(a&b)-4*(a&~b)+2*(a|b)+2*~(a&~a)-2*~(a|b)-3*~(a|~b))+1*(~(x|(-3*(a&b)-4*(a&~b)+2*(a|b)+2*~(a&~a)-2*~(a|b)-3*~(a|~b))))+4*(~(x|~(-3*(a&b)-4*(a&~b)+2*(a|b)+2*~(a&~a)-2*~(a|b)-3*~(a|~b))))-2*(x&~(-3*(a&b)-4*(a&~b)+2*(a|b)+2*~(a&~a)-2*~(a|b)-3*~(a|~b)))+8*(x&(-3*(a&b)-4*(a&~b)+2*(a|b)+2*~(a&~a)-2*~(a|b)-3*~(a|~b))),-(x^b)+4*(~(x&~x)),(-3*(a&b)-4*(a&~b)+2*(a|b)+2*~(a&~a)-2*~(a|b)-3*~(a|~b))
-1*(~((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)^y))+~(6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)-1*(6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)-1*((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)^y)+((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)|~y)-2*~y-1*((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)|y)+2*(~((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)|~y))+3*((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)&~y)+4*((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)&y),2*y-(~(a&y)),(6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)
(~(x&~(14*(a&b)+6*(a&~b)-6*(a|b)-7*~(a^b)+7*~(a|b)+7*~(a|~b))))-1*(~(x^(14*(a&b)+6*(a&~b)-6*(a|b)-7*~(a^b)+7*~(a|b)+7*~(a|~b))))-1*(x|(14*(a&b)+6*(a&~b)-6*(a|b)-7*~(a^b)+7*~(a|b)+7*~(a|~b)))-1*~x+(~(x&~x))+(~(x&(14*(a&b)+6*(a&~b)-6*(a|b)-7*~(a^b)+7*~(a|b)+7*~(a|~b))))-1*(x^(14*(a&b)+6*(a&~b)-6*(a|b)-7*~(a^b)+7*~(a|b)+7*~(a|~b)))+2*~(14*(a&b)+6*(a&~b)-6*(a|b)-7*~(a^b)+7*~(a|b)+7*~(a|~b))-2*(~(x|(14*(a&b)+6*(a&~b)-6*(a|b)-7*~(a^b)+7*~(a|b)+7*~(a|~b))))-2*(~(x|~(14*(a&b)+6*(a&~b)-6*(a|b)-7*~(a^b)+7*~(a|b)+7*~(a|~b))))-1*(x&~(14*(a&b)+6*(a&~b)-6*(a|b)-7*~(a^b)+7*~(a|b)+7*~(a|~b)))-1*(x&(14*(a&b)+6*(a&~b)-6*(a|b)-7*~(a^b)+7*~(a|b)+7*~(a|~b))),1*(x|~b)-2*b,(14*(a&b)+6*(a&~b)-6*(a|b)-7*~(a^b)+7*~(a|b)+7*~(a|~b))
-1*(~((3*(a&b)-10*(a&~b)+11*~(a&b)-2*~(a^b)-9*~(a|b)-11*~(a|~b))&~(3*(a&b)-10*(a&~b)+11*~(a&b)-2*~(a^b)-9*~(a|b)-11*~(a|~b))))+(~((3*(a&b)-10*(a&~b)+11*~(a&b)-2*~(a^b)-9*~(a|b)-11*~(a|~b))&~y))-1*((3*(a&b)-10*(a&~b)+11*~(a&b)-2*~(a^b)-9*~(a|b)-11*~(a|~b))^y)-1*y-1*~(3*(a&b)-10*(a&~b)+11*~(a&b)-2*~(a^b)-9*~(a|b)-11*~(a|~b))+(3*(a&b)-10*(a&~b)+11*~(a&b)-2*~(a^b)-9*~(a|b)-11*~(a|~b))+2*~y-1*((3*(a&b)-10*(a&~b)+11*~(a&b)-2*~(a^b)-9*~(a|b)-11*~(a|~b))|y)+4*(~((3*(a&b)-10*(a&~b)+11*~(a&b)-2*~(a^b)-9*~(a|b)-11*~(a|~b))|~y))+1*((3*(a&b)-10*(a&~b)+11*~(a&b)-2*~(a^b)-9*~(a|b)-11*~(a|~b))&~y)+2*((3*(a&b)-10*(a&~b)+11*~(a&b)-2*~(a^b)-9*~(a|b)-11*~(a|~b))&y),1*(a|~y),(3*(a&b)-10*(a&~b)+11*~(a&b)-2*~(a^b)-9*~(a|b)-11*~(a|~b))
-2*(~(x&~x))+(x^(5*(a&b)+3*(a&~b)-3*(a|~b)-1*~(a^b)+4*~(a|b)+1*~(a|~b)))+2*(~(x&~(5*(a&b)+3*(a&~b)-3*(a|~b)-1*~(a^b)+4*~(a|b)+1*~(a|~b))))+(5*(a&b)+3*(a&~b)-3*(a|~b)-1*~(a^b)+4*~(a|b)+1*~(a|~b))-1*(~(x^(5*(a&b)+3*(a&~b)-3*(a|~b)-1*~(a^b)+4*~(a|b)+1*~(a|~b))))-1*(x|~(5*(a&b)+3*(a&~b)-3*(a|~b)-1*~(a^b)+4*~(a|b)+1*~(a|~b)))+4*(~(x|(5*(a&b)+3*(a&~b)-3*(a|~b)-1*~(a^b)+4*~(a|b)+1*~(a|~b))))+5*(x&~(5*(a&b)+3*(a&~b)-3*(a|~b)-1*~(a^b)+4*~(a|b)+1*~(a|~b)))+4*(x&(5*(a&b)+3*(a&~b)-3*(a|~b)-1*~(a^b)+4*~(a|b)+1*~(a|~b))),3*x+2*~x,(5*(a&b)+3*(a&~b)-3*(a|~b)-1*~(a^b)+4*~(a|b)+1*~(a|~b))
-1*(~((5*(a&b)+4*(a&~b)-3*~(a&~a)-1*~(a^b)+4*~(a|b)+3*~(a|~b))&~y))+(~((5*(a&b)+4*(a&~b)-3*~(a&~a)-1*~(a^b)+4*~(a|b)+3*~(a|~b))^y))-1*(~((5*(a&b)+4*(a&~b)-3*~(a&~a)-1*~(a^b)+4*~(a|b)+3*~(a|~b))&y))-2*((5*(a&b)+4*(a&~b)-3*~(a&~a)-1*~(a^b)+4*~(a|b)+3*~(a|~b))|~y)+(~((5*(a&b)+4*(a&~b)-3*~(a&~a)-1*~(a^b)+4*~(a|b)+3*~(a|~b))&~(5*(a&b)+4*(a&~b)-3*~(a&~a)-1*~(a^b)+4*~(a|b)+3*~(a|~b))))+(5*(a&b)+4*(a&~b)-3*~(a&~a)-1*~(a^b)+4*~(a|b)+3*~(a|~b))-1*~(5*(a&b)+4*(a&~b)-3*~(a&~a)-1*~(a^b)+4*~(a|b)+3*~(a|~b))+y+5*(~((5*(a&b)+4*(a&~b)-3*~(a&~a)-1*~(a^b)+4*~(a|b)+3*~(a|~b))|y))-1*(~((5*(a&b)+4*(a&~b)-3*~(a&~a)-1*~(a^b)+4*~(a|b)+3*~(a|~b))|~y))+1*((5*(a&b)+4*(a&~b)-3*~(a&~a)-1*~(a^b)+4*~(a|b)+3*~(a|~b))&~y)-3*((5*(a&b)+4*(a&~b)-3*~(a&~a)-1*~(a^b)+4*~(a|b)+3*~(a|~b))&y),-2*(a|y)+2*~y,(5*(a&b)+4*(a&~b)-3*~(a&~a)-1*~(a^b)+4*~(a|b)+3*~(a|~b))
~(7*(a&b)+13*(a&~b)-7*(a^b)-6*a+8*~(a|~b))-1*~x-1*(~(x^(7*(a&b)+13*(a&~b)-7*(a^b)-6*a+8*~(a|~b))))-1*(~(x&~(7*(a&b)+13*(a&~b)-7*(a^b)-6*a+8*~(a|~b))))-4*(x^(7*(a&b)+13*(a&~b)-7*(a^b)-6*a+8*~(a|~b)))-1*(~(x&(7*(a&b)+13*(a&~b)-7*(a^b)-6*a+8*~(a|~b))))-2*(~(x&~x))+(x|~(7*(a&b)+13*(a&~b)-7*(a^b)-6*a+8*~(a|~b)))-1*(x|(7*(a&b)+13*(a&~b)-7*(a^b)-6*a+8*~(a|~b)))+4*(~(x|(7*(a&b)+13*(a&~b)-7*(a^b)-6*a+8*~(a|~b))))+9*(~(x|~(7*(a&b)+13*(a&~b)-7*(a^b)-6*a+8*~(a|~b))))+6*(x&~(7*(a&b)+13*(a&~b)-7*(a^b)-6*a+8*~(a|~b)))+3*(x&(7*(a&b)+13*(a&~b)-7*(a^b)-6*a+8*~(a|~b))),-b,(7*(a&b)+13*(a&~b)-7*(a^b)-6*a+8*~(a|~b))
-5*~y-1*(8*(a&b)+8*(a&~b)-7*~(a&~a)+3*~(a|b)+3*~(a|~b)+4*~a)-1*~(8*(a&b)+8*(a&~b)-7*~(a&~a)+3*~(a|b)+3*~(a|~b)+4*~a)+2*((8*(a&b)+8*(a&~b)-7*~(a&~a)+3*~(a|b)+3*~(a|~b)+4*~a)|y)-2*(~((8*(a&b)+8*(a&~b)-7*~(a&~a)+3*~(a|b)+3*~(a|~b)+4*~a)&~(8*(a&b)+8*(a&~b)-7*~(a&~a)+3*~(a|b)+3*~(a|~b)+4*~a)))-1*(~((8*(a&b)+8*(a&~b)-7*~(a&~a)+3*~(a|b)+3*~(a|~b)+4*~a)&~y))+((8*(a&b)+8*(a&~b)-7*~(a&~a)+3*~(a|b)+3*~(a|~b)+4*~a)^y)+(~((8*(a&b)+8*(a&~b)-7*~(a&~a)+3*~(a|b)+3*~(a|~b)+4*~a)&y))+8*(~((8*(a&b)+8*(a&~b)-7*~(a&~a)+3*~(a|b)+3*~(a|~b)+4*~a)|y))+1*(~((8*(a&b)+8*(a&~b)-7*~(a&~a)+3*~(a|b)+3*~(a|~b)+4*~a)|~y))+4*((8*(a&b)+8*(a&~b)-7*~(a&~a)+3*~(a|b)+3*~(a|~b)+4*~a)&~y)+3*((8*(a&b)+8*(a&~b)-7*~(a&~a)+3*~(a|b)+3*~(a|~b)+4*~a)&y),1*y,(8*(a&b)+8*(a&~b)-7*~(a&~a)+3*~(a|b)+3*~(a|~b)+4*~a)
-1*(x|~(4*(a&b)+1*(a&~b)-3*b-1*~(a&b)+1*~(a|b)+5*~(a|~b)))-1*~x-2*(4*(a&b)+1*(a&~b)-3*b-1*~(a&b)+1*~(a|b)+5*~(a|~b))+(~(x^(4*(a&b)+1*(a&~b)-3*b-1*~(a&b)+1*~(a|b)+5*~(a|~b))))-5*(x^(4*(a&b)+1*(a&~b)-3*b-1*~(a&b)+1*~(a|b)+5*~(a|~b)))+~(4*(a&b)+1*(a&~b)-3*b-1*~(a&b)+1*~(a|b)+5*~(a|~b))-4*(~(x&~x))+3*(x|(4*(a&b)+1*(a&~b)-3*b-1*~(a&b)+1*~(a|b)+5*~(a|~b)))+3*(~(x|(4*(a&b)+1*(a&~b)-3*b-1*~(a&b)+1*~(a|b)+5*~(a|~b))))+8*(~(x|~(4*(a&b)+1*(a&~b)-3*b-1*~(a&b)+1*~(a|b)+5*~(a|~b))))+3*(x&~(4*(a&b)+1*(a&~b)-3*b-1*~(a&b)+1*~(a|b)+5*~(a|~b)))+1*(x&(4*(a&b)+1*(a&~b)-3*b-1*~(a&b)+1*~(a|b)+5*~(a|~b))),-(~(x&b))-2*x,(4*(a&b)+1*(a&~b)-3*b-1*~(a&b)+1*~(a|b)+5*~(a|~b))
-1*y-1*(~((-7*(a&~b)+7*(a^b)+1*(a|~b)-1*~(a|b)-7*~(a|~b))&~(-7*(a&~b)+7*(a^b)+1*(a|~b)-1*~(a|b)-7*~(a|~b))))-1*~y+((-7*(a&~b)+7*(a^b)+1*(a|~b)-1*~(a|b)-7*~(a|~b))^y)+((-7*(a&~b)+7*(a^b)+1*(a|~b)-1*~(a|b)-7*~(a|~b))|~y)+(~((-7*(a&~b)+7*(a^b)+1*(a|~b)-1*~(a|b)-7*~(a|~b))&~y))-1*((-7*(a&~b)+7*(a^b)+1*(a|~b)-1*~(a|b)-7*~(a|~b))|y)-1*(-7*(a&~b)+7*(a^b)+1*(a|~b)-1*~(a|b)-7*~(a|~b))+(~((-7*(a&~b)+7*(a^b)+1*(a|~b)-1*~(a|b)-7*~(a|~b))^y))+2*(~((-7*(a&~b)+7*(a^b)+1*(a|~b)-1*~(a|b)-7*~(a|~b))|~y))+3*((-7*(a&~b)+7*(a^b)+1*(a|~b)-1*~(a|b)-7*~(a|~b))&~y)+1*((-7*(a&~b)+7*(a^b)+1*(a|~b)-1*~(a|b)-7*~(a|~b))&y),1*(~(a&y)),(-7*(a&~b)+7*(a^b)+1*(a|~b)-1*~(a|b)-7*~(a|~b))
(~(x^(3*(a&b)-2*~(a&~b)+5*~(a|b)+6*~(a|~b)-3*~a)))+(x|(3*(a&b)-2*~(a&~b)+5*~(a|b)+6*~(a|~b)-3*~a))+(~(x&~x))+(3*(a&b)-2*~(a&~b)+5*~(a|b)+6*~(a|~b)-3*~a)-1*(x^(3*(a&b)-2*~(a&~b)+5*~(a|b)+6*~(a|~b)-3*~a))+(~(x&(3*(a&b)-2*~(a&~b)+5*~(a|b)+6*~(a|~b)-3*~a)))+2*~x-2*(x|~(3*(a&b)-2*~(a&~b)+5*~(a|b)+6*~(a|~b)-3*~a))-3*(~(x|(3*(a&b)-2*~(a&~b)+5*~(a|b)+6*~(a|~b)-3*~a)))-6*(~(x|~(3*(a&b)-2*~(a&~b)+5*~(a|b)+6*~(a|~b)-3*~a)))+1*(x&~(3*(a&b)-2*~(a&~b)+5*~(a|b)+6*~(a|~b)-3*~a))-3*(x&(3*(a&b)-2*~(a&~b)+5*~(a|b)+6*~(a|~b)-3*~a)),-(~(x&~b))+1*~b,(3*(a&b)-2*~(a&~b)+5*~(a|b)+6*~(a|~b)-3*~a)
2*y-1*((2*(a&b)+2*(a&~b)-2*(a|b)+1*(a|~b)-1*~(a|b)+2*~(a|~b))|y)+2*(2*(a&b)+2*(a&~b)-2*(a|b)+1*(a|~b)-1*~(a|b)+2*~(a|~b))-1*(~((2*(a&b)+2*(a&~b)-2*(a|b)+1*(a|~b)-1*~(a|b)+2*~(a|~b))&~(2*(a&b)+2*(a&~b)-2*(a|b)+1*(a|~b)-1*~(a|b)+2*~(a|~b))))-1*(~((2*(a&b)+2*(a&~b)-2*(a|b)+1*(a|~b)-1*~(a|b)+2*~(a|~b))&~y))-2*((2*(a&b)+2*(a&~b)-2*(a|b)+1*(a|~b)-1*~(a|b)+2*~(a|~b))^y)+3*(~((2*(a&b)+2*(a&~b)-2*(a|b)+1*(a|~b)-1*~(a|b)+2*~(a|~b))|y))+3*(~((2*(a&b)+2*(a&~b)-2*(a|b)+1*(a|~b)-1*~(a|b)+2*~(a|~b))|~y))+3*((2*(a&b)+2*(a&~b)-2*(a|b)+1*(a|~b)-1*~(a|b)+2*~(a|~b))&~y)-1*((2*(a&b)+2*(a&~b)-2*(a|b)+1*(a|~b)-1*~(a|b)+2*~(a|~b))&y),1*~y,(2*(a&b)+2*(a&~b)-2*(a|b)+1*(a|~b)-1*~(a|b)+2*~(a|~b))
2*(~(x&~x))-2*~x-1*(~(x&~(3*(a&b)-1*(a&~b)-2*a-3*~(a|b)+1*~(a|~b)+3*~b)))+~(3*(a&b)-1*(a&~b)-2*a-3*~(a|b)+1*~(a|~b)+3*~b)-1*(~(x&(3*(a&b)-1*(a&~b)-2*a-3*~(a|b)+1*~(a|~b)+3*~b)))+2*(x|(3*(a&b)-1*(a&~b)-2*a-3*~(a|b)+1*~(a|~b)+3*~b))+x-5*(x&~(3*(a&b)-1*(a&~b)-2*a-3*~(a|b)+1*~(a|~b)+3*~b))-5*(x&(3*(a&b)-1*(a&~b)-2*a-3*~(a|b)+1*~(a|~b)+3*~b)),-(~(x^b)),(3*(a&b)-1*(a&~b)-2*a-3*~(a|b)+1*~(a|~b)+3*~b)
((-6*(a&b)-6*(a&~b)+7*(a|b)+7*~(a|b)-7*~a)|y)-1*(~((-6*(a&b)-6*(a&~b)+7*(a|b)+7*~(a|b)-7*~a)&~(-6*(a&b)-6*(a&~b)+7*(a|b)+7*~(a|b)-7*~a)))+(~((-6*(a&b)-6*(a&~b)+7*(a|b)+7*~(a|b)-7*~a)&y))-1*~y+((-6*(a&b)-6*(a&~b)+7*(a|b)+7*~(a|b)-7*~a)|~y)-1*(~((-6*(a&b)-6*(a&~b)+7*(a|b)+7*~(a|b)-7*~a)&~y))+(~((-6*(a&b)-6*(a&~b)+7*(a|b)+7*~(a|b)-7*~a)^y))+((-6*(a&b)-6*(a&~b)+7*(a|b)+7*~(a|b)-7*~a)^y)-2*((-6*(a&b)-6*(a&~b)+7*(a|b)+7*~(a|b)-7*~a)&~y),1*y,(-6*(a&b)-6*(a&~b)+7*(a|b)+7*~(a|b)-7*~a)
