#poly,groundtruth
-8*~y*(x&y)-8*~y*(x&~y)+10*~y*x+3*~y*~(x|y)+8*(x^y)*(x&y)+8*(x^y)*(x&~y)-10*(x^y)*x-3*(x^y)*~(x|y)-3*~y*(x|~y)-1*~y*~x+3*(x^y)*(x|~y)+1*(x^y)*~x,1*~y-1*(x^y)
28*~(x^y)*(x&~y)-28*~(x^y)*(x|y)-35*~(x^y)*~(x|y)+35*~(x^y)*~(x|~y)+35*~(x^y)*~(x^y)+7*~(x^y)*~y,-7*~(x^y)
21*(x&~y)*(x&y)+36*(x&~y)*(x&~y)-18*(x&~y)*(x|y)+24*(x&~y)*~(x|y)+3*(x&~y)*~(x|~y)-33*(x&~y)*~y-3*~(x&y)*(x&y)+14*~(x&y)*(x&~y)+12*~(x&y)*~(x|y)+3*~(x&y)*~(x|~y)-11*~(x&y)*~y+12*(x&~y)*~(x&y)-6*(x&~y)*~(x^y)-4*~(x&y)*~(x&y)+2*~(x&y)*~(x^y),3*(x&~y)+1*~(x&y)
200*~(x|~y)*(x&y)+88*~(x|~y)*(x&~y)-88*~(x|~y)*y-80*~(x|~y)*~(x&~x)+112*~(x|~y)*~(x|y)+200*~(x|~y)*~(x|~y)+36*~(x|y)*(x&y)+4*~(x|y)*(x&~y)-44*~(x|y)*y-8*~(x|y)*~(x|y)+36*~(x|y)*~(x|~y)-24*~(x|~y)*~(x&~y)+12*~(x|y)*~(x&~y),-8*~(x|~y)-4*~(x|y)
-14*~(x|y)*(x&y)-13*~(x|y)*(x&~y)+6*~(x|y)*(x|~y)-2*~(x|y)*x-4*~(x|y)*~(x|y)-9*~(x|y)*~(x|~y)-192*(x&~y)*(x&y)-176*(x&~y)*(x&~y)-176*(x&~y)*~(x|~y)+11*~(x|y)*(x|y)-1*~(x|y)*~(x&y)+176*(x&~y)*(x|y)-16*(x&~y)*~(x&y),-1*~(x|y)+16*(x&~y)
56*~(x^y)*(x&y)+48*~(x^y)*(x&~y)-44*~(x^y)*x-12*~(x^y)*y+12*~(x^y)*~(x|~y)-2*~(x^y)*~(x&~x)+4*~(x^y)*~(x&~y),-2*~(x^y)
13*~y*(x&~y)+2*~y*y-2*~y*~(x&y)+13*~y*~(x|y)+12*~y*~(x|~y)+143*(x^y)*(x&~y)+22*(x^y)*y-22*(x^y)*~(x&y)+143*(x^y)*~(x|y)+132*(x^y)*~(x|~y)+9*~y*(x&y)+1*~y*(x|~y)-11*~y*~(x&~x)+99*(x^y)*(x&y)+11*(x^y)*(x|~y)-121*(x^y)*~(x&~x),-1*~y-11*(x^y)
120*~(x|y)*(x&y)+90*~(x|y)*(x&~y)-140*~(x|y)*x+90*~(x|y)*~(x|y)+50*~(x|y)*~(x|~y)-110*~(x|y)*~x+24*x*(x&y)+18*x*(x&~y)-28*x*x+18*x*~(x|y)+10*x*~(x|~y)-22*x*~x+40*~(x|y)*(x^y)+10*~(x|y)*~(x&~y)+8*x*(x^y)+2*x*~(x&~y),10*~(x|y)+2*x
2*~x*(x&y)+14*~x*(x&~y)+24*~x*~(x|y)-8*~x*~(x|~y)+156*(x&y)*(x&y)-60*(x&y)*(x&~y)+120*(x&y)*y-264*(x&y)*~(x^y)+144*(x&y)*~(x|y)-48*(x&y)*~(x|~y)+10*~x*(x^y)-22*~x*~y-60*(x&y)*(x^y)+132*(x&y)*~y,-2*~x-12*(x&y)
-6*(x&y)*(x&y)-13*(x&y)*~(x|y)-14*(x&y)*~(x|~y)+3*(x&y)*~x-1*(x&y)*~y-10*(x&y)*(x&~y)+5*(x&y)*~(x&y)+5*(x&y)*~(x&~x),1*(x&y)
-9*(x&~y)*(x&y)+63*(x&~y)*(x&~y)-66*(x&~y)*(x^y)+3*(x&~y)*~(x|y)+69*(x&~y)*~(x|~y)+6*(x&~y)*~(x&~y)-12*(x&~y)*~x,3*(x&~y)
6*~(x&~x)*(x&~y)+2*~(x&~x)*~(x|y)+20*~(x&~x)*~(x|~y)-4*~(x&~x)*~y+12*~(x|y)*(x&~y)+8*~(x|y)*~(x^y)+12*~(x|y)*~(x|y)-32*~(x|y)*~(x|~y)-8*~(x|y)*~y+24*~(x&~x)*(x&y)-22*~(x&~x)*y+4*~(x&~x)*~x-48*~(x|y)*(x&y)+44*~(x|y)*y-8*~(x|y)*~x,-2*~(x&~x)-4*~(x|y)
15*(x|y)*(x&y)+25*(x|y)*(x&~y)-10*(x|y)*(x^y)-10*(x|y)*~(x&~x)+9*(x|y)*~(x|y)+25*(x|y)*~(x|~y)-6*(x|y)*(x|y),1*(x|y)
-5*(x|y)*~(x|y)-4*(x|y)*~(x|~y)+11*(x|y)*~x+22*y*x-165*y*~(x|y)-176*y*~(x|~y)+121*y*~x+7*(x|y)*(x&~y)-6*(x|y)*~(x&y)+1*(x|y)*~(x^y)-77*y*(x&~y)+66*y*~(x&y)-11*y*~(x^y),-1*(x|y)-11*y
18*~(x&~y)*(x&y)+12*~(x&~y)*(x&~y)-10*~(x&~y)*(x|~y)+18*~(x&~y)*~(x|y)+8*~(x&~y)*~(x|~y)+45*(x|y)*(x&y)+30*(x|y)*(x&~y)-25*(x|y)*(x|~y)+45*(x|y)*~(x|y)+20*(x|y)*~(x|~y)-6*~(x&~y)*~(x&~y)-15*(x|y)*~(x&~y),-2*~(x&~y)-5*(x|y)
78*(x&~y)*(x&y)+66*(x&~y)*(x&~y)-72*(x&~y)*(x|y)-6*(x&~y)*(x|~y)+54*(x&~y)*~(x|~y)-91*(x^y)*(x&y)-77*(x^y)*(x&~y)+84*(x^y)*(x|y)+7*(x^y)*(x|~y)-63*(x^y)*~(x|~y)+12*(x&~y)*(x^y)-6*(x&~y)*x-14*(x^y)*(x^y)+7*(x^y)*x,6*(x&~y)-7*(x^y)
-10*~(x&~x)*(x&~y)+4*~(x&~x)*(x|y)-6*~(x&~x)*~(x|y)-10*~(x&~x)*~(x|~y)+10*~(x&~x)*~(x&y)-6*~(x&~x)*~(x&~x),2*~(x&~x)
-4*x*(x&y)-6*x*(x&~y)+4*x*~(x&~x)-2*x*~(x&~y)-4*x*~(x|y)-4*x*~(x|~y)+1*x*y+1*x*~y,1*x
-33*~(x|y)*(x&y)-48*~(x|y)*(x&~y)+30*~(x|y)*~(x&y)-60*~(x|y)*~(x|y)-60*~(x|y)*~(x|~y)-3*~(x|y)*~x+21*~(x|y)*~(x&~x)+15*~(x|y)*~(x&~y),-3*~(x|y)
66*(x^y)*(x&y)+99*(x^y)*(x&~y)-110*(x^y)*(x|y)+22*(x^y)*~(x^y)-33*(x^y)*~(x|y)+99*(x^y)*~(x|~y)+5*x*(x&~y)+5*x*~(x|y)+5*x*~(x|~y)-11*(x^y)*~(x&y)+11*(x^y)*~(x&~x)-5*x*~(x&y)+5*x*~(x&~x),11*(x^y)-5*x
3*(x|y)*(x&y)+2*(x|y)*(x&~y)-3*(x|y)*x-1*(x|y)*~(x^y)-12*(x|y)*~(x|~y)-3*(x^y)*(x&y)-2*(x^y)*(x&~y)+3*(x^y)*x+1*(x^y)*~(x^y)+12*(x^y)*~(x|~y)-11*(x|y)*~(x|y)+11*(x|y)*~x+11*(x^y)*~(x|y)-11*(x^y)*~x,1*(x|y)-1*(x^y)
9*~y*(x&y)+11*~y*(x&~y)-10*~y*(x|y)-4*~y*~(x|y)+4*~y*~(x|~y)+180*~(x|~y)*(x&y)+220*~(x|~y)*(x&~y)-200*~(x|~y)*(x|y)-80*~(x|~y)*~(x|y)+80*~(x|~y)*~(x|~y)+2*~y*y+5*~y*~x+40*~(x|~y)*y+100*~(x|~y)*~x,-1*~y-20*~(x|~y)
-3*~(x&y)*(x&y)-27*~(x&y)*(x&~y)-6*~(x&y)*~(x&y)+3*~(x&y)*~(x|y)+21*~(x&y)*~y+4*~y*(x&y)+36*~y*(x&~y)+8*~y*~(x&y)-4*~y*~(x|y)-28*~y*~y+9*~(x&y)*(x^y)+15*~(x&y)*~(x|~y)-21*~(x&y)*~x-12*~y*(x^y)-20*~y*~(x|~y)+28*~y*~x,3*~(x&y)-4*~y
11*~(x&~y)*(x&y)+10*~(x&~y)*(x&~y)-8*~(x&~y)*(x|~y)+10*~(x&~y)*~(x|y)+2*~(x&~y)*~(x|~y)-2*~(x&~y)*~y+55*(x|y)*(x&y)+50*(x|y)*(x&~y)-40*(x|y)*(x|~y)+50*(x|y)*~(x|y)+10*(x|y)*~(x|~y)-10*(x|y)*~y-2*~(x&~y)*y+1*~(x&~y)*~(x&y)-10*(x|y)*y+5*(x|y)*~(x&y),-1*~(x&~y)-5*(x|y)
11*(x|~y)*(x&y)+22*(x|~y)*(x&~y)+11*(x|~y)*~(x|y)+11*(x|~y)*~x-11*(x|~y)*~y,-11*(x|~y)
-70*(x&~y)*(x&y)-35*(x&~y)*(x&~y)+42*(x&~y)*~(x&~y)-49*(x&~y)*~(x|y)-70*(x&~y)*~(x|~y)+20*x*(x&y)+10*x*(x&~y)-12*x*~(x&~y)+14*x*~(x|y)+20*x*~(x|~y)+28*(x&~y)*(x|y)-7*(x&~y)*y-8*x*(x|y)+2*x*y,7*(x&~y)-2*x
-14*(x^y)*(x&y)-9*(x^y)*(x&~y)+14*(x^y)*(x|~y)-10*(x^y)*~(x|y)-1*(x^y)*~(x|~y)-3*(x^y)*~y-1*(x^y)*x+2*(x^y)*y,-1*(x^y)
120*~(x|~y)*(x&y)+112*~(x|~y)*(x&~y)-128*~(x|~y)*(x|y)-16*~(x|~y)*~(x|y)+112*~(x|~y)*~(x|~y)+75*~(x|y)*(x&y)+72*~(x|y)*(x&~y)-6*~(x|y)*(x|y)-66*~(x|y)*~(x&~x)+66*~(x|y)*~(x|y)+72*~(x|y)*~(x|~y)+8*~(x|~y)*~(x&y)+3*~(x|y)*~(x&y),8*~(x|~y)-3*~(x|y)
10*~(x&~y)*(x&y)+35*~(x&~y)*~(x|y)+5*~(x&~y)*(x&~y)-5*~(x&~y)*y+40*~(x&~y)*~(x|~y)-30*~(x&~y)*~x,-5*~(x&~y)
7*~x*(x&y)+7*~x*(x&~y)+7*~x*~(x|y)+7*~x*~(x|~y)+15*~y*(x&y)+27*~y*(x&~y)-6*~y*x+21*~y*~(x|y)+9*~y*~(x|~y)-12*~y*~y-14*~x*~(x&~x)-6*~y*~(x&~x),7*~x-3*~y
-8*~(x&~y)*(x&y)-10*~(x&~y)*(x&~y)+10*~(x&~y)*x+2*~(x&~y)*~(x|~y)-18*x*(x&y)-20*x*(x&~y)+22*x*(x|~y)-20*x*~(x|y)+4*x*~(x|~y)-2*~(x&~y)*y-1*~(x&~y)*~(x&~x)-2*x*y-1*x*~(x&~x),1*~(x&~y)-1*x
-12*~(x|y)*(x&y)-24*~(x|y)*(x&~y)-12*~(x|y)*~(x|y)-34*~(x|y)*~(x|~y)+24*(x&~y)*(x&y)+48*(x&~y)*(x&~y)+24*(x&~y)*~(x|y)+68*(x&~y)*~(x|~y)+22*~(x|y)*(x^y)+10*~(x|y)*~(x&~y)-44*(x&~y)*(x^y)-20*(x&~y)*~(x&~y),2*~(x|y)-4*(x&~y)
10*~(x&y)*(x&y)-15*~(x&y)*(x&~y)+20*~(x&y)*(x|y)+10*~(x&y)*~(x|y)+15*~(x&y)*~(x|~y)-10*~(x&y)*~y+8*~(x|~y)*(x&y)-12*~(x|~y)*(x&~y)+16*~(x|~y)*(x|y)+8*~(x|~y)*~(x|y)+12*~(x|~y)*~(x|~y)-8*~(x|~y)*~y-35*~(x&y)*y-5*~(x&y)*~x-28*~(x|~y)*y-4*~(x|~y)*~x,5*~(x&y)+4*~(x|~y)
90*~(x|y)*(x&y)-20*~(x|y)*(x&~y)-110*~(x|y)*~(x&~y)+85*~(x|y)*~(x|y)+85*~(x|y)*~(x|~y)+6*(x&~y)*(x&y)-60*(x&~y)*(x&~y)+66*(x&~y)*~(x&y)-57*(x&~y)*~(x|y)-57*(x&~y)*~(x|~y)+15*~(x|y)*~(x&~x)+5*~(x|y)*~x-9*(x&~y)*~(x&~x)-3*(x&~y)*~x,5*~(x|y)+3*(x&~y)
-2*~(x&~x)*(x&y)-10*~(x&~x)*x-4*~(x&~x)*~(x&y)-10*~(x&~x)*~(x|y)+3*~(x&~x)*~(x|~y)+10*~(x|~y)*(x&y)+50*~(x|~y)*x+20*~(x|~y)*~(x&y)+50*~(x|~y)*~(x|y)-15*~(x|~y)*~(x|~y)+11*~(x&~x)*(x|~y)+2*~(x&~x)*~y-55*~(x|~y)*(x|~y)-10*~(x|~y)*~y,1*~(x&~x)-5*~(x|~y)
72*x*(x&y)+48*x*(x&~y)-56*x*(x|y)-56*x*y-52*x*~(x|y)+116*x*~(x|~y)-198*~(x|~y)*(x&y)-132*~(x|~y)*(x&~y)+154*~(x|~y)*(x|y)+154*~(x|~y)*y+143*~(x|~y)*~(x|y)-319*~(x|~y)*~(x|~y)+44*x*~(x^y)+12*x*~y-121*~(x|~y)*~(x^y)-33*~(x|~y)*~y,-4*x+11*~(x|~y)
66*~x*(x&y)-22*~x*(x&~y)+44*~x*(x|~y)-110*~x*~(x^y)+88*~x*~(x|y)+33*~x*~(x|~y)-66*~(x^y)*(x&y)+22*~(x^y)*(x&~y)-44*~(x^y)*(x|~y)+110*~(x^y)*~(x^y)-88*~(x^y)*~(x|y)-33*~(x^y)*~(x|~y)-11*~x*y-33*~x*~(x&y)+11*~(x^y)*y+33*~(x^y)*~(x&y),11*~x-11*~(x^y)
7*~(x&y)*(x&y)-3*~(x&y)*(x&~y)-2*~(x&y)*y-3*~(x&y)*~(x^y)+7*(x^y)*(x&y)-7*(x^y)*(x&~y)+21*(x^y)*~(x^y)-28*(x^y)*~(x|y)-3*~(x&y)*(x|~y)+5*~(x&y)*~(x&y)-4*~(x&y)*~(x|~y)-21*(x^y)*(x|~y)+35*(x^y)*~(x&y)-28*(x^y)*~(x|~y),1*~(x&y)-7*(x^y)
-182*y*(x&y)-147*y*(x&~y)+154*y*x-21*y*~(x|y)+10*~(x&~x)*(x&y)+1*~(x&~x)*(x&~y)-4*~(x&~x)*~(x&~y)+9*~(x&~x)*~(x|y)+6*~(x&~x)*~(x|~y)+7*y*y+28*y*~(x^y)-1*~(x&~x)*y-4*~(x&~x)*~(x^y),-7*y-1*~(x&~x)
-33*~(x^y)*(x&y)-22*~(x^y)*~(x&~x)-44*~(x^y)*~(x^y)+11*~(x^y)*~(x|y)+21*~(x|y)*(x&y)+14*~(x|y)*~(x&~x)+28*~(x|y)*~(x^y)-7*~(x|y)*~(x|y)-77*~(x^y)*(x&~y)+44*~(x^y)*(x|~y)+44*~(x^y)*x+11*~(x^y)*~(x|~y)+49*~(x|y)*(x&~y)-28*~(x|y)*(x|~y)-28*~(x|y)*x-7*~(x|y)*~(x|~y),11*~(x^y)-7*~(x|y)
3*~(x|y)*(x&y)-15*~(x|y)*(x&~y)-18*~(x|y)*(x|y)+36*~(x|y)*x+24*~(x|y)*~(x|y)+18*~(x|y)*~(x|~y)-5*~(x&~x)*(x&y)+1*~(x&~x)*(x&~y)-6*~(x&~x)*~(x|y)+2*~(x&~x)*~(x|~y)+3*~(x|y)*y-21*~(x|y)*~(x^y)-1*~(x&~x)*y+7*~(x&~x)*~(x^y),-3*~(x|y)-1*~(x&~x)
-84*~(x|~y)*(x&y)-162*~(x|~y)*(x&~y)+150*~(x|~y)*(x|~y)-72*~(x|~y)*y-162*~(x|~y)*~(x|y)+60*~(x|~y)*~(x|~y)+6*~(x|~y)*~(x&y),6*~(x|~y)
126*(x|y)*(x&y)+161*(x|y)*(x&~y)-42*(x|y)*(x|y)+126*(x|y)*~(x|y)+133*(x|y)*~(x|~y)-7*(x|y)*~x-77*(x|y)*~(x&~x)-35*(x|y)*~y,-7*(x|y)
33*~(x&~y)*(x&y)+33*~(x&~y)*(x&~y)-18*~(x&~y)*~(x&~x)+33*~(x&~y)*~(x|y)+51*~(x&~y)*~(x|~y)+11*(x^y)*(x&y)+11*(x^y)*(x&~y)-6*(x^y)*~(x&~x)+11*(x^y)*~(x|y)+17*(x^y)*~(x|~y)-18*~(x&~y)*y-18*~(x&~y)*~(x&y)-6*(x^y)*y-6*(x^y)*~(x&y),3*~(x&~y)+1*(x^y)
-12*~(x^y)*(x&y)+20*~(x^y)*(x&~y)+16*~(x^y)*(x|~y)-4*~(x^y)*~(x&y)-8*~(x^y)*~(x|y)+36*~(x^y)*~(x|~y)-28*~(x^y)*(x^y),-4*~(x^y)
-6*(x&y)*(x&y)-72*(x&y)*(x&~y)+24*(x&y)*(x|~y)-12*(x&y)*~(x&~x)-72*(x&y)*~(x|y)-48*(x&y)*~(x|~y)+66*(x&y)*~(x&y),-6*(x&y)
60*~(x&y)*(x&y)-24*~(x&y)*(x&~y)+42*~(x&y)*~(x|y)-6*~(x&y)*~(x|~y)+18*~(x&y)*~y-66*~(x&y)*~(x^y),6*~(x&y)
12*(x^y)*(x&y)+30*(x^y)*~(x|y)+45*(x^y)*~(x|~y)-33*(x^y)*~x+12*(x^y)*(x&~y)-15*(x^y)*(x|y),3*(x^y)
-44*(x|y)*(x&y)-44*(x|y)*(x&~y)-66*(x|y)*~(x|y)-66*(x|y)*~(x|~y)+11*(x|y)*~x-11*(x|y)*x+66*(x|y)*~(x&~x),-11*(x|y)
-3*~(x^y)*(x&y)-3*~(x^y)*(x&~y)-2*~(x^y)*y-5*~(x^y)*~(x|y)+1*~(x^y)*~(x|~y)-3*~(x&y)*(x&y)-3*~(x&y)*(x&~y)-2*~(x&y)*y-5*~(x&y)*~(x|y)+1*~(x&y)*~(x|~y)+2*~(x^y)*(x|~y)+2*~(x^y)*~(x^y)+2*~(x&y)*(x|~y)+2*~(x&y)*~(x^y),1*~(x^y)+1*~(x&y)
2*~(x&~y)*(x&y)-5*~(x&~y)*(x&~y)+1*~(x&~y)*(x|~y)-2*~(x&~y)*~(x&~x)-5*~(x&~y)*~(x|y)-4*~(x&~y)*~(x|~y)+24*(x|~y)*(x&y)+45*(x|~y)*(x&~y)-21*(x|~y)*(x|~y)+45*(x|~y)*~(x|y)+24*(x|~y)*~(x|~y)+7*~(x&~y)*~(x&y)-21*(x|~y)*~(x&y),-1*~(x&~y)-3*(x|~y)
-119*y*(x&y)+28*y*(x&~y)+28*y*~(x&~x)+70*y*~(x&~y)-42*y*~(x|y)-168*y*~(x|~y)+323*~(x|~y)*(x&y)-76*~(x|~y)*(x&~y)-76*~(x|~y)*~(x&~x)-190*~(x|~y)*~(x&~y)+114*~(x|~y)*~(x|y)+456*~(x|~y)*~(x|~y)-49*y*(x|~y)+77*y*y+133*~(x|~y)*(x|~y)-209*~(x|~y)*y,-7*y+19*~(x|~y)
26*(x^y)*(x&y)+32*(x^y)*(x&~y)-28*(x^y)*(x|~y)-2*(x^y)*~(x&y)+32*(x^y)*~(x|y)+6*~x*(x&y)+20*~x*(x&~y)-18*~x*~(x&y)+20*~x*~(x|y)+24*~x*~(x|~y)+4*(x^y)*y-4*~x*y,-2*(x^y)-2*~x
5*~(x^y)*(x&y)-4*~(x^y)*(x&~y)+3*~(x^y)*~(x&y)+2*~(x^y)*~(x|y)+2*~(x^y)*~(x|~y)-5*~(x&y)*(x&y)+4*~(x&y)*(x&~y)-3*~(x&y)*~(x&y)-2*~(x&y)*~(x|y)-2*~(x&y)*~(x|~y)-6*~(x^y)*~(x&~y)+6*~(x&y)*~(x&~y),1*~(x^y)-1*~(x&y)
-35*~(x|y)*(x&y)+7*~(x|y)*(x&~y)+14*~(x|y)*~(x&y)-42*~(x|y)*~(x|y)-7*~(x|y)*~y+5*(x^y)*(x&y)-1*(x^y)*(x&~y)-2*(x^y)*~(x&y)+6*(x^y)*~(x|y)+1*(x^y)*~y-7*~(x|y)*(x|~y)+49*~(x|y)*~(x^y)-7*~(x|y)*~(x|~y)+1*(x^y)*(x|~y)-7*(x^y)*~(x^y)+1*(x^y)*~(x|~y),-7*~(x|y)+1*(x^y)
-33*(x&~y)*(x&y)-33*(x&~y)*(x&~y)+9*(x&~y)*(x|y)+21*(x&~y)*~(x&~x)-24*(x&~y)*~(x|y)-33*(x&~y)*~(x|~y),3*(x&~y)
-220*~(x|~y)*(x&y)+60*~(x|~y)*(x&~y)+240*~(x|~y)*x-440*~(x|~y)*~(x&y)+320*~(x|~y)*~(x|y)+440*~(x|~y)*~(x|~y)+20*~(x|~y)*(x^y)+140*~(x|~y)*~y,-20*~(x|~y)
-15*~(x|~y)*(x&y)-65*~(x|~y)*(x&~y)+20*~(x|~y)*x+35*~(x|~y)*~(x&y)-45*~(x|~y)*~(x|y)-30*~(x|~y)*~(x|~y)+15*~(x|~y)*~y,-5*~(x|~y)
4*(x|y)*(x&y)+23*(x|y)*(x&~y)-22*(x|y)*(x^y)+1*(x|y)*~(x|y)+26*(x|y)*~(x|~y)+28*~(x&~y)*(x&y)+161*~(x&~y)*(x&~y)-154*~(x&~y)*(x^y)+7*~(x&~y)*~(x|y)+182*~(x&~y)*~(x|~y)-3*(x|y)*y-21*~(x&~y)*y,-1*(x|y)-7*~(x&~y)
2*(x|~y)*(x&y)-2*(x|~y)*(x|y)-4*(x|~y)*y-4*(x|~y)*~(x|y)+5*(x|~y)*~(x|~y)-2*~(x&~x)*(x&y)+2*~(x&~x)*(x|y)+4*~(x&~x)*y+4*~(x&~x)*~(x|y)-5*~(x&~x)*~(x|~y)-2*(x|~y)*(x&~y)+3*(x|~y)*(x|~y)+2*~(x&~x)*(x&~y)-3*~(x&~x)*(x|~y),1*(x|~y)-1*~(x&~x)
48*~(x|y)*(x&y)+54*~(x|y)*(x&~y)-18*~(x|y)*x+3*~(x|y)*~(x|y)+30*~(x|y)*~(x|~y)-33*~(x|y)*(x|y)+6*~(x|y)*y,-3*~(x|y)
253*(x|~y)*(x&y)-22*(x|~y)*(x|y)-154*(x|~y)*~(x^y)+231*(x|~y)*~(x|y)-22*(x|~y)*(x&~y)+33*(x|~y)*(x|~y)-121*(x|~y)*~(x&~y)+132*(x|~y)*~(x|~y),11*(x|~y)
-42*(x&~y)*(x&y)-54*(x&~y)*(x&~y)+36*(x&~y)*y+12*(x&~y)*~(x|y)+18*(x&~y)*~(x|~y)+42*(x&~y)*~y-9*~(x|~y)*(x&y)-63*~(x|~y)*(x&~y)-162*~(x|~y)*~(x|y)-99*~(x|~y)*~(x|~y)+63*~(x|~y)*~y+6*(x&~y)*~(x&y)-66*(x&~y)*~x-9*~(x|~y)*~(x&y)+99*~(x|~y)*~x,6*(x&~y)+9*~(x|~y)
32*(x|~y)*(x&y)+10*(x|~y)*(x&~y)-16*(x|~y)*~(x^y)+26*(x|~y)*~(x|y)+16*(x|~y)*~(x|~y)-14*(x|~y)*~(x&~x)+6*(x|~y)*~y,-2*(x|~y)
-10*x*(x&y)-10*x*(x&~y)+8*x*(x|y)-3*x*~(x|y)-11*x*~(x|~y)+1*x*~x-10*(x|~y)*(x&y)-10*(x|~y)*(x&~y)+8*(x|~y)*(x|y)-3*(x|~y)*~(x|y)-11*(x|~y)*~(x|~y)+1*(x|~y)*~x+1*x*~(x&~x)+1*(x|~y)*~(x&~x),1*x+1*(x|~y)
48*~y*(x&y)+16*~y*(x&~y)-8*~y*(x|~y)-8*~y*y-12*~y*~(x|y)-12*~y*~(x|~y)+84*(x&y)*(x&y)+28*(x&y)*(x&~y)-14*(x&y)*(x|~y)-14*(x&y)*y-21*(x&y)*~(x|y)-21*(x&y)*~(x|~y)-28*~y*x+24*~y*~(x&y)-49*(x&y)*x+42*(x&y)*~(x&y),-4*~y-7*(x&y)
50*(x&~y)*(x&y)-60*(x&~y)*(x&~y)-20*(x&~y)*(x|~y)+90*(x&~y)*~(x&~x)-60*(x&~y)*~(x|y)+30*(x&~y)*~(x|~y)+35*~(x&~x)*(x&y)-42*~(x&~x)*(x&~y)-14*~(x&~x)*(x|~y)+63*~(x&~x)*~(x&~x)-42*~(x&~x)*~(x|y)+21*~(x&~x)*~(x|~y)-110*(x&~y)*y-77*~(x&~x)*y,-10*(x&~y)-7*~(x&~x)
286*(x&~y)*(x&y)+220*(x&~y)*(x&~y)+11*(x&~y)*(x|~y)-242*(x&~y)*x+44*(x&~y)*~(x|y)-11*(x&~y)*~(x|~y)-66*(x&~y)*~(x^y),11*(x&~y)
77*~(x|y)*(x&y)+121*~(x|y)*(x&~y)-132*~(x|y)*(x|~y)+55*~(x|y)*~(x|y)-66*~(x|y)*~(x|~y)+11*~(x|y)*~x-11*~(x|y)*y+55*~(x|y)*~(x&~y),11*~(x|y)
-154*~(x|~y)*(x&y)-196*~(x|~y)*(x&~y)+168*~(x|~y)*(x|y)-28*~(x|~y)*~(x|y)-196*~(x|~y)*~(x|~y)+42*~(x|~y)*~(x&y),-14*~(x|~y)
-22*(x|y)*(x&y)+44*(x|y)*~(x|y)-11*(x|y)*~(x|~y)-22*(x|y)*~x-33*(x|y)*~y+11*(x|y)*(x^y)+11*(x|y)*(x|y),11*(x|y)
-20*(x|y)*(x&y)+15*(x|y)*(x&~y)+30*(x|y)*~(x^y)-20*(x|y)*~(x|y)+56*~(x|y)*(x&y)-35*~(x|y)*(x&~y)-84*~(x|y)*y-28*~(x|y)*~(x|y)+70*~(x|y)*~(x|~y)-5*(x|y)*(x^y)-15*(x|y)*(x|~y)+7*~(x|y)*(x^y)+21*~(x|y)*(x|~y),5*(x|y)+7*~(x|y)
-44*~(x&~x)*(x&y)-45*~(x&~x)*(x&~y)+22*~(x&~x)*(x|y)+12*~(x&~x)*(x|~y)-12*~(x&~x)*~(x|y)-21*~(x&~x)*~(x|~y)-88*y*(x&y)-90*y*(x&~y)+44*y*(x|y)+24*y*(x|~y)-24*y*~(x|y)-42*y*~(x|~y)+11*~(x&~x)*x+1*~(x&~x)*~y+22*y*x+2*y*~y,-1*~(x&~x)-2*y
9*~(x^y)*(x&y)+1*~(x^y)*~(x&~x)-6*~(x^y)*~(x^y)+4*~(x^y)*~(x|y)-27*(x|y)*(x&y)-3*(x|y)*~(x&~x)+18*(x|y)*~(x^y)-12*(x|y)*~(x|y)+3*~(x^y)*(x&~y)-5*~(x^y)*(x|y)+3*~(x^y)*~(x|~y)-9*(x|y)*(x&~y)+15*(x|y)*(x|y)-9*(x|y)*~(x|~y),1*~(x^y)-3*(x|y)
143*~(x|~y)*(x&y)-13*~(x|~y)*(x&~y)-117*~(x|~y)*y+143*~(x|~y)*~(x|~y)+26*~(x|~y)*~y-13*~(x|~y)*~(x&~y),-13*~(x|~y)
18*~(x^y)*(x&y)+12*~(x^y)*(x&~y)-6*~(x^y)*x+1*~(x^y)*~(x|y)+17*~(x^y)*~(x|~y)+6*~y*(x&y)+4*~y*(x&~y)+4*~y*~(x&~y)-5*~y*~(x|y)+11*~y*~(x|~y)-5*~(x^y)*(x^y)-11*~(x^y)*y-5*~y*(x^y)-11*~y*y,-1*~(x^y)+1*~y
-6*~(x|~y)*(x&y)-6*~(x|~y)*(x&~y)-6*~(x|~y)*~(x|y)+2*~(x|~y)*~x-15*(x&~y)*(x&y)-15*(x&~y)*(x&~y)-15*(x&~y)*~(x|y)+5*(x&~y)*~x+2*~(x|~y)*(x|y)+6*~(x|~y)*~(x&~x)-8*~(x|~y)*~(x|~y)+5*(x&~y)*(x|y)+15*(x&~y)*~(x&~x)-20*(x&~y)*~(x|~y),-2*~(x|~y)-5*(x&~y)
-36*~(x|~y)*(x&y)-27*~(x|~y)*(x&~y)+6*~(x|~y)*~(x|y)-3*~(x|~y)*~(x|~y)+33*~(x|~y)*x-9*~(x|~y)*~y,3*~(x|~y)
-44*~(x&y)*(x&~y)-24*~(x&y)*~(x|y)+24*~(x&y)*~(x|~y)+24*~(x&y)*~y+24*~(x&y)*(x|~y)-20*~(x&y)*~(x&~y),-4*~(x&y)
