# expression,groundtruth
((((((e ^ ~ b) + ((e | b) + (e | b))) + 1) & ~ ((b & ~ e) + e)) + ((b & ~ e) + e)) & ((((~ b + 1) - e) - (((~ b + 1) | ~ e) + ((~ b + 1) | ~ e))) - 2)) * ((((((e ^ ~ b) + ((e | b) + (e | b))) + 1) & ~ ((b & ~ e) + e)) + ((b & ~ e) + e)) | ((((~ b + 1) - e) - (((~ b + 1) | ~ e) + ((~ b + 1) | ~ e))) - 2)) + ((((((e ^ ~ b) + ((e | b) + (e | b))) + 1) & ~ ((b & ~ e) + e)) + ((b & ~ e) + e)) & ~ ((((~ b + 1) - e) - (((~ b + 1) | ~ e) + ((~ b + 1) | ~ e))) - 2)) * (~ (((((e ^ ~ b) + ((e | b) + (e | b))) + 1) & ~ ((b & ~ e) + e)) + ((b & ~ e) + e)) & ((((~ b + 1) - e) - (((~ b + 1) | ~ e) + ((~ b + 1) | ~ e))) - 2)),((((e+b)|(b|e))*((-b)^e)))
((((a - ~ ((b & ~ b) + b)) - 1) - 1) - ((((((~ a | a) + a) + 1) - ((a + ~ a) + 1)) - (((((~ a | a) + a) + 1) | ~ ((a + ~ a) + 1)) + ((((~ a | a) + a) + 1) | ~ ((a + ~ a) + 1)))) - 2)) - 1,((~(((a&a)^(a-a))-(~(-(a+(b|b)))))))
~ (((~ ((c | c) + (c & c)) | (((c + b) + 1) + ((- c - 1) | (- b - 1)))) - ~ ((c | c) + (c & c))) - 1),((-((c+c)&(c|b))))
((((((((c & ~ (~ a + 1)) << 1) - (c ^ (~ a + 1))) + ((e & c) * (e | c) + (e & ~ c) * (~ e & c))) + 1) + ((- (((c & ~ (~ a + 1)) << 1) - (c ^ (~ a + 1))) - 1) | (- ((e & c) * (e | c) + (e & ~ c) * (~ e & c)) - 1))) ^ ~ (((a - ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) - ((a | ~ ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) << 1)) - 2)) + ((((((((c & ~ (~ a + 1)) << 1) - (c ^ (~ a + 1))) + ((e & c) * (e | c) + (e & ~ c) * (~ e & c))) + 1) + ((- (((c & ~ (~ a + 1)) << 1) - (c ^ (~ a + 1))) - 1) | (- ((e & c) * (e | c) + (e & ~ c) * (~ e & c)) - 1))) | (((a - ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) - ((a | ~ ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) << 1)) - 2)) + (((((((c & ~ (~ a + 1)) << 1) - (c ^ (~ a + 1))) + ((e & c) * (e | c) + (e & ~ c) * (~ e & c))) + 1) + ((- (((c & ~ (~ a + 1)) << 1) - (c ^ (~ a + 1))) - 1) | (- ((e & c) * (e | c) + (e & ~ c) * (~ e & c)) - 1))) | (((a - ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) - ((a | ~ ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) << 1)) - 2)))) + 1,((((c-(-a))|(e*c))+(a^(e*e))))
(((~ (a - 1) | a) - a) ^ ((((e & (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) * (e | (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) + (e & ~ (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) * (~ e & (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2))) ^ (((a & ~ a) << 1) - (a ^ a))) - ((~ ((e & (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) * (e | (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) + (e & ~ (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) * (~ e & (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2))) & (((a & ~ a) << 1) - (a ^ a))) + (~ ((e & (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) * (e | (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) + (e & ~ (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) * (~ e & (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2))) & (((a & ~ a) << 1) - (a ^ a)))))) - ((~ ((~ (a - 1) | a) - a) & ((((e & (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) * (e | (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) + (e & ~ (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) * (~ e & (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2))) ^ (((a & ~ a) << 1) - (a ^ a))) - ((~ ((e & (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) * (e | (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) + (e & ~ (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) * (~ e & (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2))) & (((a & ~ a) << 1) - (a ^ a))) + (~ ((e & (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) * (e | (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) + (e & ~ (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2)) * (~ e & (((((a & ~ a) - (~ a & a)) - a) - ((((a & ~ a) - (~ a & a)) | ~ a) + (((a & ~ a) - (~ a & a)) | ~ a))) - 2))) & (((a & ~ a) << 1) - (a ^ a)))))) << 1),((((-a)&(~a))-((e*((a-a)^a))-(a-a))))
((~ (~ ((c - ~ a) - 1) + 1) | ((((~ ((~ d | ~ (d - 1)) - ~ d) + 1) + ((c | d) - (c & d))) + 1) + ((- (~ ((~ d | ~ (d - 1)) - ~ d) + 1) - 1) | (- ((c | d) - (c & d)) - 1)))) + (~ ((c - ~ a) - 1) + 1)) + 1,(((-(c+a))&((-(d&(-d)))|(c^d))))
(~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b)) | (((- (((b & c) - (b | c)) - 1) - 1) & ~ (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + (((c + c) + 1) + ((- c - 1) | (- c - 1))))) - ~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b)),(((b*b)&((~(~(b^c)))|(c|c))))
((((a - ((a & a) * (a | a) + (a & ~ a) * (~ a & a))) - ((a | ~ ((a & a) * (a | a) + (a & ~ a) * (~ a & a))) << 1)) - 2) | (- ((((d | a) - (d & a)) & ~ a) + a) - 1)) - ((((a - ((a & a) * (a | a) + (a & ~ a) * (~ a & a))) - ((a | ~ ((a & a) * (a | a) + (a & ~ a) * (~ a & a))) << 1)) - 2) & (- ((((d | a) - (d & a)) & ~ a) + a) - 1)),(((a^(a*a))^(~((d^a)|a))))
((((c - e) - ((c | ~ e) << 1)) - 2) | (- (- c - 1) - 1)) - ((((c - e) - ((c | ~ e) << 1)) - 2) & (- (- c - 1) - 1)),(((c^e)^(~(~c))))
(~ ((~ (((((d & ~ a) + a) & ~ ((~ a | e) - ~ a)) - (~ ((d & ~ a) + a) & ((~ a | e) - ~ a))) - 1) ^ ((d & a) * (d | a) + (d & ~ a) * (~ d & a))) - ((~ (~ (((((d & ~ a) + a) & ~ ((~ a | e) - ~ a)) - (~ ((d & ~ a) + a) & ((~ a | e) - ~ a))) - 1)) & ((d & a) * (d | a) + (d & ~ a) * (~ d & a))) + (~ (~ (((((d & ~ a) + a) & ~ ((~ a | e) - ~ a)) - (~ ((d & ~ a) + a) & ((~ a | e) - ~ a))) - 1)) & ((d & a) * (d | a) + (d & ~ a) * (~ d & a))))) | (((((e - ((a - ~ a) - 1)) - ((e | ~ ((a - ~ a) - 1)) + (e | ~ ((a - ~ a) - 1)))) - 2) & ~ d) + d)) - ~ ((~ (((((d & ~ a) + a) & ~ ((~ a | e) - ~ a)) - (~ ((d & ~ a) + a) & ((~ a | e) - ~ a))) - 1) ^ ((d & a) * (d | a) + (d & ~ a) * (~ d & a))) - ((~ (~ (((((d & ~ a) + a) & ~ ((~ a | e) - ~ a)) - (~ ((d & ~ a) + a) & ((~ a | e) - ~ a))) - 1)) & ((d & a) * (d | a) + (d & ~ a) * (~ d & a))) + (~ (~ (((((d & ~ a) + a) & ~ ((~ a | e) - ~ a)) - (~ ((d & ~ a) + a) & ((~ a | e) - ~ a))) - 1)) & ((d & a) * (d | a) + (d & ~ a) * (~ d & a))))),((((-((d|a)-(a&e)))-(d*a))&((e^(a+a))|d)))
((((~ ((d & d) * (d | d) + (d & ~ d) * (~ d & d)) | ((c ^ e) - ((~ c & e) + (~ c & e)))) - ~ ((d & d) * (d | d) + (d & ~ d) * (~ d & d))) + ((((((~ c | d) + c) + 1) & ~ ((~ (~ (d - 1)) | c) - ~ (~ (d - 1)))) + ((~ (~ (d - 1)) | c) - ~ (~ (d - 1)))) - 1)) + 1) + ((- ((~ ((d & d) * (d | d) + (d & ~ d) * (~ d & d)) | ((c ^ e) - ((~ c & e) + (~ c & e)))) - ~ ((d & d) * (d | d) + (d & ~ d) * (~ d & d))) - 1) | (- ((((((~ c | d) + c) + 1) & ~ ((~ (~ (d - 1)) | c) - ~ (~ (d - 1)))) + ((~ (~ (d - 1)) | c) - ~ (~ (d - 1)))) - 1) - 1)),((((d*d)&(c-e))|(~(-((c&d)|((-d)&c))))))
((((e | (~ c + 1)) - (e & (~ c + 1))) ^ ~ (((e - (~ e + 1)) - ((e | ~ (~ e + 1)) + (e | ~ (~ e + 1)))) - 2)) + ((((e | (~ c + 1)) - (e & (~ c + 1))) | (((e - (~ e + 1)) - ((e | ~ (~ e + 1)) + (e | ~ (~ e + 1)))) - 2)) << 1)) + 1,(((e^(-c))+(e^(-e))))
((- b - 1) ^ (((e & b) * (e | b) + (e & ~ b) * (~ e & b)) - (((e & b) * (e | b) + (e & ~ b) * (~ e & b)) & ((((e | b) - (e & b)) & ~ b) + b)))) + (((- b - 1) & (((e & b) * (e | b) + (e & ~ b) * (~ e & b)) - (((e & b) * (e | b) + (e & ~ b) * (~ e & b)) & ((((e | b) - (e & b)) & ~ b) + b)))) + ((- b - 1) & (((e & b) * (e | b) + (e & ~ b) * (~ e & b)) - (((e & b) * (e | b) + (e & ~ b) * (~ e & b)) & ((((e | b) - (e & b)) & ~ b) + b))))),(((~b)+((e*b)&(~((e^b)|b)))))
~ (((- b - 1) & ~ (- (- ((((~ b | b) - ~ b) & b) * (((~ b | b) - ~ b) | b) + (((~ b | b) - ~ b) & ~ b) * (~ ((~ b | b) - ~ b) & b)) - 1) - 1)) + (- (- ((((~ b | b) - ~ b) & b) * (((~ b | b) - ~ b) | b) + (((~ b | b) - ~ b) & ~ b) * (~ ((~ b | b) - ~ b) & b)) - 1) - 1)) + 1,((-((~b)|(~(~((b&b)*b))))))
- ((((d ^ c) - ((~ d & c) + (~ d & c))) & ~ (- ((~ d | d) - ~ d) - 1)) + (- ((~ d | d) - ~ d) - 1)) - 1,((~((d-c)|(~(d&d)))))
~ (((~ (((e & ~ (((~ a | a) + a) + 1)) - (~ e & (((~ a | a) + a) + 1))) - 1) | (~ (((~ e | (~ c + 1)) + e) + 1) + 1)) + (((e & ~ (((~ a | a) + a) + 1)) - (~ e & (((~ a | a) + a) + 1))) - 1)) + 1) + 1,((-((~(-(e-(a&a))))&(-(e&(-c))))))
(((((- ((d & ~ c) + c) - 1) & ~ ((d | c) - (d & c))) + ((- ((d & ~ c) + c) - 1) & ~ ((d | c) - (d & c)))) - ((- ((d & ~ c) + c) - 1) ^ ((d | c) - (d & c)))) & ((((((~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) | (((((d + c) + 1) + ((- d - 1) | (- c - 1))) & ~ c) + c)) + (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + 1) - d) - (((((~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) | (((((d + c) + 1) + ((- d - 1) | (- c - 1))) & ~ c) + c)) + (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + 1) | ~ d) + ((((~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) | (((((d + c) + 1) + ((- d - 1) | (- c - 1))) & ~ c) + c)) + (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + 1) | ~ d))) - 2)) * (((((- ((d & ~ c) + c) - 1) & ~ ((d | c) - (d & c))) + ((- ((d & ~ c) + c) - 1) & ~ ((d | c) - (d & c)))) - ((- ((d & ~ c) + c) - 1) ^ ((d | c) - (d & c)))) | ((((((~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) | (((((d + c) + 1) + ((- d - 1) | (- c - 1))) & ~ c) + c)) + (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + 1) - d) - (((((~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) | (((((d + c) + 1) + ((- d - 1) | (- c - 1))) & ~ c) + c)) + (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + 1) | ~ d) + ((((~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) | (((((d + c) + 1) + ((- d - 1) | (- c - 1))) & ~ c) + c)) + (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + 1) | ~ d))) - 2)) + (((((- ((d & ~ c) + c) - 1) & ~ ((d | c) - (d & c))) + ((- ((d & ~ c) + c) - 1) & ~ ((d | c) - (d & c)))) - ((- ((d & ~ c) + c) - 1) ^ ((d | c) - (d & c)))) & ~ ((((((~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) | (((((d + c) + 1) + ((- d - 1) | (- c - 1))) & ~ c) + c)) + (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + 1) - d) - (((((~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) | (((((d + c) + 1) + ((- d - 1) | (- c - 1))) & ~ c) + c)) + (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + 1) | ~ d) + ((((~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) | (((((d + c) + 1) + ((- d - 1) | (- c - 1))) & ~ c) + c)) + (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + 1) | ~ d))) - 2)) * (~ ((((- ((d & ~ c) + c) - 1) & ~ ((d | c) - (d & c))) + ((- ((d & ~ c) + c) - 1) & ~ ((d | c) - (d & c)))) - ((- ((d & ~ c) + c) - 1) ^ ((d | c) - (d & c)))) & ((((((~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) | (((((d + c) + 1) + ((- d - 1) | (- c - 1))) & ~ c) + c)) + (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + 1) - d) - (((((~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) | (((((d + c) + 1) + ((- d - 1) | (- c - 1))) & ~ c) + c)) + (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + 1) | ~ d) + ((((~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) | (((((d + c) + 1) + ((- d - 1) | (- c - 1))) & ~ c) + c)) + (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + 1) | ~ d))) - 2)),((((~(d|c))-(d^c))*(((c|c)&((d|c)|c))^d)))
((((~ (e - 1) | ((a | (- e - 1)) - (a & (- e - 1)))) + (e - 1)) + 1) | ((e + ~ (((e ^ ~ a) + ((e | a) + (e | a))) + 1)) + 1)) - ((((~ (e - 1) | ((a | (- e - 1)) - (a & (- e - 1)))) + (e - 1)) + 1) & ((e + ~ (((e ^ ~ a) + ((e | a) + (e | a))) + 1)) + 1)),((((~(-e))&(a^(~e)))^(e-(e+a))))
((- d - 1) & ~ (b - 1)) + (b - 1),(((~d)|(~(-b))))
((~ ((((((~ c | e) - ~ c) + ((c | e) + (c & e))) + 1) + ((- ((~ c | e) - ~ c) - 1) | (- ((c | e) + (c & e)) - 1))) - 1) + ((((e & e) * (e | e) + (e & ~ e) * (~ e & e)) + ~ (((((c | e) + (c | e)) - (c ^ e)) | e) - ((((c | e) + (c | e)) - (c ^ e)) & e))) + 1)) + 1) + ((- (~ ((((((~ c | e) - ~ c) + ((c | e) + (c & e))) + 1) + ((- ((~ c | e) - ~ c) - 1) | (- ((c | e) + (c & e)) - 1))) - 1)) - 1) | (- ((((e & e) * (e | e) + (e & ~ e) * (~ e & e)) + ~ (((((c | e) + (c | e)) - (c ^ e)) | e) - ((((c | e) + (c | e)) - (c ^ e)) & e))) + 1) - 1)),(((-((c&e)|(c+e)))|((e*e)-((c+e)^e))))
((((((((~ c | e) + c) + 1) - (((~ ((c | e) + (c & e)) | (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + ((c | e) + (c & e))) + 1)) - (((((~ c | e) + c) + 1) | ~ (((~ ((c | e) + (c & e)) | (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + ((c | e) + (c & e))) + 1)) << 1)) - 2) + ((((((c & ~ e) + (c & ~ e)) - (c ^ e)) + (((e & ~ c) + (e & ~ c)) - (e ^ c))) + 1) + ((- (((c & ~ e) + (c & ~ e)) - (c ^ e)) - 1) | (- (((e & ~ c) + (e & ~ c)) - (e ^ c)) - 1)))) + 1) + ((- ((((((~ c | e) + c) + 1) - (((~ ((c | e) + (c & e)) | (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + ((c | e) + (c & e))) + 1)) - (((((~ c | e) + c) + 1) | ~ (((~ ((c | e) + (c & e)) | (((c + c) + 1) + ((- c - 1) | (- c - 1)))) + ((c | e) + (c & e))) + 1)) << 1)) - 2) - 1) | (- ((((((c & ~ e) + (c & ~ e)) - (c ^ e)) + (((e & ~ c) + (e & ~ c)) - (e ^ c))) + 1) + ((- (((c & ~ e) + (c & ~ e)) - (c ^ e)) - 1) | (- (((e & ~ c) + (e & ~ c)) - (e ^ c)) - 1))) - 1)),((((c&e)^((c+e)&(c|c)))|((c-e)|(e-c))))
((- c - 1) & ~ ((c & ((b - ~ c) - 1)) * (c | ((b - ~ c) - 1)) + (c & ~ ((b - ~ c) - 1)) * (~ c & ((b - ~ c) - 1)))) + ((c & ((b - ~ c) - 1)) * (c | ((b - ~ c) - 1)) + (c & ~ ((b - ~ c) - 1)) * (~ c & ((b - ~ c) - 1))),(((~c)|(c*(b+c))))
((((((((((~ d | a) - ~ d) & ~ d) + (((~ d | a) - ~ d) & ~ d)) - (((~ d | a) - ~ d) ^ d)) + (((e | d) + (e | d)) - (e ^ d))) + 1) + ((- (((((~ d | a) - ~ d) & ~ d) + (((~ d | a) - ~ d) & ~ d)) - (((~ d | a) - ~ d) ^ d)) - 1) | (- (((e | d) + (e | d)) - (e ^ d)) - 1))) + ((e & d) * (e | d) + (e & ~ d) * (~ e & d))) + 1) + ((- ((((((((~ d | a) - ~ d) & ~ d) + (((~ d | a) - ~ d) & ~ d)) - (((~ d | a) - ~ d) ^ d)) + (((e | d) + (e | d)) - (e ^ d))) + 1) + ((- (((((~ d | a) - ~ d) & ~ d) + (((~ d | a) - ~ d) & ~ d)) - (((~ d | a) - ~ d) ^ d)) - 1) | (- (((e | d) + (e | d)) - (e ^ d)) - 1))) - 1) | (- ((e & d) * (e | d) + (e & ~ d) * (~ e & d)) - 1)),(((((d&a)-d)|(e+d))|(e*d)))
((((~ ((b & ~ b) + b) | a) + ((b & ~ b) + b)) + 1) & ~ ((b & a) * (b | a) + (b & ~ a) * (~ b & a))) + ((b & a) * (b | a) + (b & ~ a) * (~ b & a)),((((b|b)&a)|(b*a)))
((~ (((a - (- ((b | c) + (b & c)) - 1)) - ((a | ~ (- ((b | c) + (b & c)) - 1)) + (a | ~ (- ((b | c) + (b & c)) - 1)))) - 2) + 1) | (((~ (((a - b) - ((a | ~ b) + (a | ~ b))) - 2) | c) + (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) + 1)) - ((~ (((a - (- ((b | c) + (b & c)) - 1)) - ((a | ~ (- ((b | c) + (b & c)) - 1)) + (a | ~ (- ((b | c) + (b & c)) - 1)))) - 2) + 1) & (((~ (((a - b) - ((a | ~ b) + (a | ~ b))) - 2) | c) + (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) + 1)),(((-(a^(~(b+c))))^((a^b)&c)))
(((((~ c + 1) & (((a - c) - ((a | ~ c) << 1)) - 2)) * ((~ c + 1) | (((a - c) - ((a | ~ c) << 1)) - 2)) + ((~ c + 1) & ~ (((a - c) - ((a | ~ c) << 1)) - 2)) * (~ (~ c + 1) & (((a - c) - ((a | ~ c) << 1)) - 2))) & ~ ((((a & a) * (a | a) + (a & ~ a) * (~ a & a)) ^ (- a - 1)) + ((((a & a) * (a | a) + (a & ~ a) * (~ a & a)) & (- a - 1)) << 1))) + ((((~ c + 1) & (((a - c) - ((a | ~ c) << 1)) - 2)) * ((~ c + 1) | (((a - c) - ((a | ~ c) << 1)) - 2)) + ((~ c + 1) & ~ (((a - c) - ((a | ~ c) << 1)) - 2)) * (~ (~ c + 1) & (((a - c) - ((a | ~ c) << 1)) - 2))) & ~ ((((a & a) * (a | a) + (a & ~ a) * (~ a & a)) ^ (- a - 1)) + ((((a & a) * (a | a) + (a & ~ a) * (~ a & a)) & (- a - 1)) << 1)))) - ((((~ c + 1) & (((a - c) - ((a | ~ c) << 1)) - 2)) * ((~ c + 1) | (((a - c) - ((a | ~ c) << 1)) - 2)) + ((~ c + 1) & ~ (((a - c) - ((a | ~ c) << 1)) - 2)) * (~ (~ c + 1) & (((a - c) - ((a | ~ c) << 1)) - 2))) ^ ((((a & a) * (a | a) + (a & ~ a) * (~ a & a)) ^ (- a - 1)) + ((((a & a) * (a | a) + (a & ~ a) * (~ a & a)) & (- a - 1)) << 1))),((((-c)*(a^c))-((a*a)+(~a))))
((((((b & d) * (b | d) + (b & ~ d) * (~ b & d)) & ((d & d) * (d | d) + (d & ~ d) * (~ d & d))) - (((b & d) * (b | d) + (b & ~ d) * (~ b & d)) | ((d & d) * (d | d) + (d & ~ d) * (~ d & d)))) - 1) ^ b) - ((~ (((((b & d) * (b | d) + (b & ~ d) * (~ b & d)) & ((d & d) * (d | d) + (d & ~ d) * (~ d & d))) - (((b & d) * (b | d) + (b & ~ d) * (~ b & d)) | ((d & d) * (d | d) + (d & ~ d) * (~ d & d)))) - 1) & b) + (~ (((((b & d) * (b | d) + (b & ~ d) * (~ b & d)) & ((d & d) * (d | d) + (d & ~ d) * (~ d & d))) - (((b & d) * (b | d) + (b & ~ d) * (~ b & d)) | ((d & d) * (d | d) + (d & ~ d) * (~ d & d)))) - 1) & b)),(((~((b*d)^(d*d)))-b))
((- b - 1) & ~ ((e & ~ (((c & ~ b) + (c & ~ b)) - (c ^ b))) + (((c & ~ b) + (c & ~ b)) - (c ^ b)))) + ((e & ~ (((c & ~ b) + (c & ~ b)) - (c ^ b))) + (((c & ~ b) + (c & ~ b)) - (c ^ b))),(((~b)|(e|(c-b))))
((((((c | a) + (c & a)) ^ ~ a) + ((((c | a) + (c & a)) | a) << 1)) + 1) & ((~ (~ (((a ^ e) - ((~ a & e) << 1)) - 1)) | e) - ~ (~ (((a ^ e) - ((~ a & e) << 1)) - 1)))) * ((((((c | a) + (c & a)) ^ ~ a) + ((((c | a) + (c & a)) | a) << 1)) + 1) | ((~ (~ (((a ^ e) - ((~ a & e) << 1)) - 1)) | e) - ~ (~ (((a ^ e) - ((~ a & e) << 1)) - 1)))) + ((((((c | a) + (c & a)) ^ ~ a) + ((((c | a) + (c & a)) | a) << 1)) + 1) & ~ ((~ (~ (((a ^ e) - ((~ a & e) << 1)) - 1)) | e) - ~ (~ (((a ^ e) - ((~ a & e) << 1)) - 1)))) * (~ (((((c | a) + (c & a)) ^ ~ a) + ((((c | a) + (c & a)) | a) << 1)) + 1) & ((~ (~ (((a ^ e) - ((~ a & e) << 1)) - 1)) | e) - ~ (~ (((a ^ e) - ((~ a & e) << 1)) - 1)))),((((c+a)+a)*((-(a-e))&e)))
~ (((((((((a + ~ d) + 1) - ~ a) - 1) + ~ (~ (d - 1))) + 1) - (((~ (a - 1) & ~ (~ d + d)) << 1) - (~ (a - 1) ^ (~ d + d)))) - ((((((((a + ~ d) + 1) - ~ a) - 1) + ~ (~ (d - 1))) + 1) | ~ (((~ (a - 1) & ~ (~ d + d)) << 1) - (~ (a - 1) ^ (~ d + d)))) + (((((((a + ~ d) + 1) - ~ a) - 1) + ~ (~ (d - 1))) + 1) | ~ (((~ (a - 1) & ~ (~ d + d)) << 1) - (~ (a - 1) ^ (~ d + d)))))) - 2) + 1,((-((((a-d)+a)-(-d))^((-a)-(~(d-d))))))
((~ ((((((((~ e | e) + e) + 1) | e) + ((((~ e | e) + e) + 1) & e)) & ~ (- a - 1)) << 1) - ((((((~ e | e) + e) + 1) | e) + ((((~ e | e) + e) + 1) & e)) ^ (- a - 1))) + 1) | ((- ((a & a) * (a | a) + (a & ~ a) * (~ a & a)) - 1) + 1)) + ((~ ((((((((~ e | e) + e) + 1) | e) + ((((~ e | e) + e) + 1) & e)) & ~ (- a - 1)) << 1) - ((((((~ e | e) + e) + 1) | e) + ((((~ e | e) + e) + 1) & e)) ^ (- a - 1))) + 1) & ((- ((a & a) * (a | a) + (a & ~ a) * (~ a & a)) - 1) + 1)),(((-(((e&e)+e)-(~a)))+(-(~(~(a*a))))))
(~ (~ ((b + 1) - 1)) | (~ ((b & ~ d) - (~ b & d)) + 1)) - ~ (~ ((b + 1) - 1)),(((-(-(~b)))&(-(b-d))))
((((a ^ ((c & c) * (c | c) + (c & ~ c) * (~ c & c))) - ((~ a & ((c & c) * (c | c) + (c & ~ c) * (~ c & c))) << 1)) + ((((c & c) * (c | c) + (c & ~ c) * (~ c & c)) & ~ a) + a)) + 1) + ((- ((a ^ ((c & c) * (c | c) + (c & ~ c) * (~ c & c))) - ((~ a & ((c & c) * (c | c) + (c & ~ c) * (~ c & c))) << 1)) - 1) | (- ((((c & c) * (c | c) + (c & ~ c) * (~ c & c)) & ~ a) + a) - 1)),(((a-(c*c))|((c*c)|a)))
